t,Volume,vw,Open,Close,High,Low,n
2022-06-21 04:00:00,81000488.0,135.8508,133.42,135.87,137.06,133.32,604547
2022-06-22 04:00:00,73409234.0,135.8581,134.79,135.35,137.76,133.91,530526
2022-06-23 04:00:00,72433768.0,137.2859,136.82,138.27,138.59,135.63,554898
2022-06-24 04:00:00,88401837.0,140.8332,139.9,141.66,141.91,139.77,542278
2022-06-27 04:00:00,70207908.0,142.0413,142.695,141.66,143.49,140.965,516175
2022-06-28 04:00:00,67315328.0,139.3752,142.13,137.44,143.422,137.325,546240
2022-06-29 04:00:00,66242411.0,139.2737,137.46,139.23,140.67,136.67,572553
2022-06-30 04:00:00,98964467.0,136.476,137.25,136.72,138.37,133.7737,710706
2022-07-01 04:00:00,71051552.0,137.4774,136.04,138.93,139.04,135.66,558680
2022-07-05 04:00:00,73429641.0,139.7669,137.77,141.56,141.61,136.93,601960
2022-07-06 04:00:00,74064254.0,142.5582,141.355,142.92,144.12,141.08,585624
2022-07-07 04:00:00,66253709.0,145.6754,143.29,146.35,146.55,143.28,539961
2022-07-08 04:00:00,64543598.0,146.6409,145.265,147.04,147.55,145.0,520274
2022-07-11 04:00:00,63305113.0,145.1524,145.67,144.87,146.64,143.78,496267
2022-07-12 04:00:00,77588759.0,146.7948,145.76,145.86,148.45,145.05,579531
2022-07-13 04:00:00,71185560.0,145.1932,142.99,145.49,146.45,142.1201,559357
2022-07-14 04:00:00,78140744.0,146.591,144.08,148.47,148.95,143.25,614951
2022-07-15 04:00:00,76259931.0,149.5097,149.78,150.17,150.86,148.2,550061
2022-07-18 04:00:00,81380868.0,149.0297,150.74,147.07,151.57,146.7,620449
2022-07-19 04:00:00,82969067.0,149.7493,147.92,151.0,151.23,146.91,576469
2022-07-20 04:00:00,64823413.0,152.6255,151.12,153.04,153.72,150.37,523491
2022-07-21 04:00:00,65064436.0,154.3545,154.5,155.35,155.57,151.94,522802
2022-07-22 04:00:00,66675373.0,154.6233,155.39,154.09,156.28,153.41,527310
2022-07-25 04:00:00,53580745.0,153.3004,154.01,152.95,155.04,152.28,487391
2022-07-26 04:00:00,55099091.0,151.6799,152.265,151.6,153.085,150.8,472001
2022-07-27 04:00:00,78620688.0,155.2412,152.58,156.79,157.33,152.16,579181
2022-07-28 04:00:00,81378731.0,157.4654,156.98,157.35,157.64,154.41,738631
2022-07-29 04:00:00,101763760.0,162.249,161.24,162.51,163.63,159.5,773742
2022-08-01 04:00:00,67778379.0,162.1045,161.01,161.51,163.59,160.89,594290
2022-08-02 04:00:00,59907025.0,160.6921,160.1,160.01,162.41,159.63,543549
2022-08-03 04:00:00,82507488.0,164.9105,160.84,166.13,166.59,160.75,682781
2022-08-04 04:00:00,55474144.0,165.5946,166.005,165.81,167.19,164.43,525012
2022-08-05 04:00:00,56696985.0,164.7432,163.21,165.35,165.85,163.0,491310
2022-08-08 04:00:00,60362338.0,165.8939,166.37,164.87,167.81,164.2,540017
2022-08-09 04:00:00,63075503.0,164.8395,164.02,164.92,165.82,163.25,480552
2022-08-10 04:00:00,70170540.0,168.3496,167.68,169.24,169.34,166.9,559789
2022-08-11 04:00:00,57142109.0,169.3737,170.06,168.49,170.99,168.19,507914
2022-08-12 04:00:00,68039382.0,171.0754,169.82,172.1,172.17,169.4,557624
2022-08-15 04:00:00,54091694.0,172.6254,171.52,173.19,173.39,171.345,501625
2022-08-16 04:00:00,56377050.0,172.7427,172.78,173.03,173.71,171.6618,515134
2022-08-17 04:00:00,79542037.0,174.3135,172.77,174.55,176.15,172.57,686577
2022-08-18 04:00:00,62290075.0,174.1366,173.75,174.15,174.9,173.12,545655
2022-08-19 04:00:00,70336995.0,172.2302,173.03,171.52,173.74,171.3101,573126
2022-08-22 04:00:00,68975809.0,168.2677,169.69,167.57,169.86,167.135,620800
2022-08-23 04:00:00,54147079.0,167.6231,167.08,167.23,168.71,166.65,494686
2022-08-24 04:00:00,53841524.0,167.3144,167.32,167.53,168.11,166.245,476970
2022-08-25 04:00:00,51218209.0,169.3503,168.78,170.03,170.14,168.35,465398
2022-08-26 04:00:00,78960980.0,165.9997,170.57,163.62,171.05,163.56,722008
