Filing Date,End Date,Start Date,Fiscal Year,Fiscal Period,Company Name,Tickers,Income Statement Revenues
2024-05-03,2024-03-30,2023-12-31,2024,Q2,Apple Inc.,,90753000000.0
2024-02-02,2023-12-30,2023-10-01,2024,Q1,Apple Inc.,,119575000000.0
2023-11-03,2023-09-30,2022-09-25,2023,FY,Apple Inc.,,383285000000.0
2023-08-04,2023-07-01,2023-04-02,2023,Q3,Apple Inc.,,81797000000.0
2023-05-05,2023-04-01,2023-01-01,2023,Q2,Apple Inc.,,94836000000.0
2023-02-03,2022-12-31,2022-09-25,2023,Q1,Apple Inc.,,117154000000.0
2022-10-28,2022-09-24,2021-09-26,2022,FY,Apple Inc.,,394328000000.0
2022-07-29,2022-06-25,2022-03-27,2022,Q3,Apple Inc.,,82959000000.0
2022-04-29,2022-03-26,2021-12-26,2022,Q2,Apple Inc.,,97278000000.0
2022-01-28,2021-12-25,2021-09-26,2022,Q1,Apple Inc.,,123945000000.0
